D,m,N,theta,Re_Omega,Re_Ref_Ylm,L_eff,l_pure
0,0,1,3.14159,-0.488603,-0.488603,1,1
0.1,0,0,0,0.310352,0.282095,-0.00669527,0
0.1,0,0,0.0314159,0.310337,0.282095,-0.00669527,0
0.1,0,0,0.0628319,0.310293,0.282095,-0.00669527,0
0.1,0,0,0.0942478,0.310219,0.282095,-0.00669527,0
0.1,0,0,0.125664,0.310116,0.282095,-0.00669527,0
0.1,0,0,0.15708,0.309983,0.282095,-0.00669527,0
0.1,0,0,0.188496,0.309821,0.282095,-0.00669527,0
0.1,0,0,0.219911,0.30963,0.282095,-0.00669527,0
0.1,0,0,0.251327,0.309411,0.282095,-0.00669527,0
0.1,0,0,0.282743,0.309162,0.282095,-0.00669527,0
0.1,0,0,0.314159,0.308886,0.282095,-0.00669527,0
0.1,0,0,0.345575,0.308582,0.282095,-0.00669527,0
0.1,0,0,0.376991,0.30825,0.282095,-0.00669527,0
0.1,0,0,0.408407,0.307891,0.282095,-0.00669527,0
0.1,0,0,0.439823,0.307506,0.282095,-0.00669527,0
0.1,0,0,0.471239,0.307094,0.282095,-0.00669527,0
0.1,0,0,0.502655,0.306656,0.282095,-0.00669527,0
0.1,0,0,0.534071,0.306193,0.282095,-0.00669527,0
0.1,0,0,0.565487,0.305705,0.282095,-0.00669527,0
0.1,0,0,0.596903,0.305193,0.282095,-0.00669527,0
0.1,0,0,0.628319,0.304658,0.282095,-0.00669527,0
0.1,0,0,0.659734,0.304099,0.282095,-0.00669527,0
0.1,0,0,0.69115,0.303518,0.282095,-0.00669527,0
0.1,0,0,0.722566,0.302916,0.282095,-0.00669527,0
0.1,0,0,0.753982,0.302292,0.282095,-0.00669527,0
0.1,0,0,0.785398,0.301648,0.282095,-0.00669527,0
0.1,0,0,0.816814,0.300985,0.282095,-0.00669527,0
0.1,0,0,0.84823,0.300303,0.282095,-0.00669527,0
0.1,0,0,0.879646,0.299602,0.282095,-0.00669527,0
0.1,0,0,0.911062,0.298885,0.282095,-0.00669527,0
0.1,0,0,0.942478,0.29815,0.282095,-0.00669527,0
0.1,0,0,0.973894,0.297401,0.282095,-0.00669527,0
0.1,0,0,1.00531,0.296636,0.282095,-0.00669527,0
0.1,0,0,1.03673,0.295857,0.282095,-0.00669527,0
0.1,0,0,1.06814,0.295065,0.282095,-0.00669527,0
0.1,0,0,1.09956,0.294261,0.282095,-0.00669527,0
0.1,0,0,1.13097,0.293445,0.282095,-0.00669527,0
0.1,0,0,1.16239,0.292618,0.282095,-0.00669527,0
0.1,0,0,1.19381,0.291782,0.282095,-0.00669527,0
0.1,0,0,1.22522,0.290937,0.282095,-0.00669527,0
0.1,0,0,1.25664,0.290085,0.282095,-0.00669527,0
0.1,0,0,1.28805,0.289225,0.282095,-0.00669527,0
0.1,0,0,1.31947,0.288359,0.282095,-0.00669527,0
0.1,0,0,1.35088,0.287487,0.282095,-0.00669527,0
0.1,0,0,1.3823,0.286612,0.282095,-0.00669527,0
0.1,0,0,1.41372,0.285733,0.282095,-0.00669527,0
0.1,0,0,1.44513,0.284851,0.282095,-0.00669527,0
0.1,0,0,1.47655,0.283967,0.282095,-0.00669527,0
0.1,0,0,1.50796,0.283083,0.282095,-0.00669527,0
0.1,0,0,1.53938,0.282199,0.282095,-0.00669527,0
0.1,0,0,1.5708,0.281316,0.282095,-0.00669527,0
0.1,0,0,1.60221,0.280435,0.282095,-0.00669527,0
0.1,0,0,1.63363,0.279556,0.282095,-0.00669527,0
0.1,0,0,1.66504,0.278681,0.282095,-0.00669527,0
0.1,0,0,1.69646,0.277811,0.282095,-0.00669527,0
0.1,0,0,1.72788,0.276945,0.282095,-0.00669527,0
0.1,0,0,1.75929,0.276086,0.282095,-0.00669527,0
0.1,0,0,1.79071,0.275234,0.282095,-0.00669527,0
0.1,0,0,1.82212,0.274389,0.282095,-0.00669527,0
0.1,0,0,1.85354,0.273553,0.282095,-0.00669527,0
0.1,0,0,1.88496,0.272726,0.282095,-0.00669527,0
0.1,0,0,1.91637,0.271909,0.282095,-0.00669527,0
0.1,0,0,1.94779,0.271103,0.282095,-0.00669527,0
0.1,0,0,1.9792,0.270309,0.282095,-0.00669527,0
0.1,0,0,2.01062,0.269526,0.282095,-0.00669527,0
0.1,0,0,2.04204,0.268757,0.282095,-0.00669527,0
0.1,0,0,2.07345,0.268001,0.282095,-0.00669527,0
0.1,0,0,2.10487,0.26726,0.282095,-0.00669527,0
0.1,0,0,2.13628,0.266534,0.282095,-0.00669527,0
0.1,0,0,2.1677,0.265823,0.282095,-0.00669527,0
0.1,0,0,2.19911,0.265128,0.282095,-0.00669527,0
0.1,0,0,2.23053,0.26445,0.282095,-0.00669527,0
0.1,0,0,2.26195,0.26379,0.282095,-0.00669527,0
0.1,0,0,2.29336,0.263148,0.282095,-0.00669527,0
0.1,0,0,2.32478,0.262524,0.282095,-0.00669527,0
0.1,0,0,2.35619,0.261919,0.282095,-0.00669527,0
0.1,0,0,2.38761,0.261334,0.282095,-0.00669527,0
0.1,0,0,2.41903,0.260769,0.282095,-0.00669527,0
0.1,0,0,2.45044,0.260225,0.282095,-0.00669527,0
0.1,0,0,2.48186,0.259701,0.282095,-0.00669527,0
0.1,0,0,2.51327,0.259199,0.282095,-0.00669527,0
0.1,0,0,2.54469,0.258719,0.282095,-0.00669527,0
0.1,0,0,2.57611,0.258261,0.282095,-0.00669527,0
0.1,0,0,2.60752,0.257825,0.282095,-0.00669527,0
0.1,0,0,2.63894,0.257413,0.282095,-0.00669527,0
0.1,0,0,2.67035,0.257024,0.282095,-0.00669527,0
0.1,0,0,2.70177,0.256658,0.282095,-0.00669527,0
0.1,0,0,2.73319,0.256317,0.282095,-0.00669527,0
0.1,0,0,2.7646,0.256,0.282095,-0.00669527,0
0.1,0,0,2.79602,0.255707,0.282095,-0.00669527,0
0.1,0,0,2.82743,0.255439,0.282095,-0.00669527,0
0.1,0,0,2.85885,0.255195,0.282095,-0.00669527,0
0.1,0,0,2.89027,0.254977,0.282095,-0.00669527,0
0.1,0,0,2.92168,0.254784,0.282095,-0.00669527,0
0.1,0,0,2.9531,0.254617,0.282095,-0.00669527,0
0.1,0,0,2.98451,0.254475,0.282095,-0.00669527,0
0.1,0,0,3.01593,0.254358,0.282095,-0.00669527,0
0.1,0,0,3.04734,0.254268,0.282095,-0.00669527,0
0.1,0,0,3.07876,0.254203,0.282095,-0.00669527,0
0.1,0,0,3.11018,0.254164,0.282095,-0.00669527,0
0.1,0,0,3.14159,0.254151,0.282095,-0.00669527,0
0.1,0,1,0,0.48788,0.488603,1.00133,1
0.1,0,1,0.0314159,0.487615,0.488361,1.00133,1
0.1,0,1,0.0628319,0.48682,0.487638,1.00133,1
0.1,0,1,0.0942478,0.485495,0.486434,1.00133,1
0.1,0,1,0.125664,0.483643,0.48475,1.00133,1
0.1,0,1,0.15708,0.481265,0.482587,1.00133,1
0.1,0,1,0.188496,0.478365,0.479948,1.00133,1
0.1,0,1,0.219911,0.474947,0.476835,1.00133,1
0.1,0,1,0.251327,0.471015,0.473252,1.00133,1
